country_name,year,total_fertility_rate,growth_rate,midyear_population,midyear_population_male,midyear_population_female,max_age,kids,adults,youth,seniors,infant_mortality,infant_mortality_male,infant_mortality_female,life_expectancy,life_expectancy_male,life_expectancy_female,mortality_rate_under5
Bhutan,1950,6.67,2.544,163786,167456,160116,100.0,70751,57500,31100,4435,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Djibouti,1950,6.4164,2.559,79248,79394,79102,94.5,32583,29031,15255,2379,175.66,185.37,165.65,40.98,40.17,41.82,263.49
Bhutan,1951,6.6697,2.5669999999999997,168026,171740,164312,100.0,72484,59051,31937,4554,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Djibouti,1951,6.4146,2.588,81331,81480,81182,93.5,33448,29790,15652,2441,173.24,182.97,163.23,41.37,40.53,42.24,259.14
Djibouti,1952,6.4137,2.609,83476,83634,83318,94.0,34348,30561,16059,2508,171.6,181.11,161.82,41.68,40.82,42.57,256.16
Bhutan,1952,6.6693,2.575,172401,176168,168634,97.5,74285,60642,32798,4676,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Djibouti,1953,6.4118,2.637,85698,85852,85544,93.5,35286,31365,16476,2571,168.97,178.66,158.98,42.04,41.15,42.95,252.29
Nigeria,1953,7.195,2.87,33944600,34890864,32998336,100.0,15467462,11105123,6521443,850572,144.93,148.79,140.85,42.54,42.29,42.8,246.05
Bhutan,1953,6.669,2.5789999999999997,176902,180726,173078,97.0,76142,62277,33682,4801,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Nigeria,1954,7.195,2.877,34934189,35918588,33949790,100.0,15906660,11442483,6711048,873998,143.95,147.9,139.76,42.63,42.36,42.92,244.73
Bhutan,1954,6.6686,2.583,181528,185412,177644,97.5,78053,63955,34589,4931,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Djibouti,1954,6.4139,2.66,88000,88152,87848,94.5,36256,32189,16914,2641,167.33,177.27,157.09,42.35,41.43,43.3,249.06
Djibouti,1955,6.4129,2.6839999999999997,90391,90552,90230,95.0,37272,33056,17353,2710,165.13,174.77,155.21,42.68,41.74,43.66,245.33
Bhutan,1955,6.6683,2.5860000000000003,186282,190228,182336,98.0,80018,65677,35521,5066,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Guinea,1955,6.072,1.547,2786879,2652838,2920920,97.0,1163002,1020571,527899,75407,224.67,241.37,207.47,30.74,29.31,32.2,373.34
Nigeria,1955,7.195,2.883,35954661,36977450,34931872,100.0,16360469,11789777,6906071,898344,142.98,147.02,138.7,42.71,42.43,43.01,243.98
Djibouti,1956,6.4165,2.708,92870,93026,92714,96.0,38332,33931,17814,2793,163.06,172.66,153.17,43.05,42.09,44.04,242.25
Bhutan,1956,6.6679,2.588,191164,195174,187154,98.5,82036,67448,36479,5201,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Guinea,1956,6.0669,1.58,2830556,2696522,2964590,97.0,1181988,1036071,536042,76455,220.57,236.99,203.66,31.12,29.7,32.58,368.55
Nigeria,1956,7.195,2.888,37006981,38068434,35945528,100.0,16830272,12147166,7105942,923601,142.01,146.14,137.64,42.79,42.49,43.11,243.18
Djibouti,1957,6.4135,4.726,96418,96572,96264,92.0,39856,35198,18468,2896,160.72,170.65,150.49,43.4,42.41,44.41,238.39
Nigeria,1957,7.195,2.892,38091921,39192340,36991502,100.0,17317712,12514879,7309569,949761,141.05,145.27,136.58,42.88,42.56,43.21,242.47
Guinea,1957,6.0616,1.6269999999999998,2876325,2742160,3010490,97.5,1201920,1052122,544637,77646,216.55,232.58,200.03,31.59,30.17,33.05,362.81
Bhutan,1957,6.6676,2.59,196179,200256,192102,96.5,84110,69265,37464,5340,168.18,176.89,159.03,43.76,43.19,44.36,282.14
Nigeria,1958,7.195,2.8960000000000004,39210202,40349882,38070522,100.0,17823559,12893227,7516581,976835,140.1,144.4,135.54,42.96,42.63,43.31,241.75
Guinea,1958,6.0564,1.672,2924161,2789788,3058534,96.5,1222927,1068702,553571,78961,212.57,228.22,196.45,32.06,30.64,33.52,357.15
