country_name,Year,GDP,Life_Expectancy,Population,Annual_CO2_emissions,Mortality_Rate,Tourism,Terrorism,﻿Nuclear_percent,Renewables_percent,Homicide_Rate,Urban_population,Rural_population,Depression_percent
Algeria,1995,93203443330,68.54,28757788,94981417,4.993,520000,418,0,0.171,507.3907299,16103499,12654289,4.398318792
Algeria,1996,97024783081,68.919,29266415,96786277,4.8618,605000,529,0,0.121,474.5022734,16615714,12650701,4.392499961
Algeria,1997,98092055636,69.323,29742980,87004706,4.7425,635000,4266,0,0.07,712.5476211,17115300,12627680,4.389074858
Algeria,1998,1.03E+11,69.745,30192750,106621010,4.6289,678000,952,0,0.194,632.0562131,17606298,12586452,4.384180721
Algeria,1999,1.06E+11,70.183,30623406,91668212,4.5147,749000,467,0,0.181,528.9778606,18103945,12519461,4.382143686
Algeria,2000,1.10E+11,70.64,31042238,82221010,4.3953,866000,528,0,0.05,534.384953,18600199,12442039,4.378247474
Algeria,2001,1.14E+11,71.116,31451513,83780203,4.2697,901000,624,0,0.061,541.0797915,19094843,12356670,4.372812969
Algeria,2002,1.20E+11,71.605,31855110,89406933,4.141,988000,615,0,0.049,542.5453472,19591211,12263899,4.365445391
Algeria,2003,1.29E+11,72.101,32264159,91048404,4.012,1166000,269,0,0.214,535.6211369,20095409,12168750,4.358805789
Algeria,2004,1.34E+11,72.594,32692153,87853359,3.8829,1234000,166,0,0.194,503.2977729,20615999,12076154,4.349818844
Algeria,2005,1.42E+11,73.072,33149720,106472836,3.7541,1443000,228,0,0.408,488.0060107,21159466,11990254,4.340031424
Algeria,2006,1.45E+11,73.521,33641007,100202857,3.6263,1638000,185,0,0.153,476.7204707,21729736,11911271,4.329484821
Algeria,2007,1.50E+11,73.936,34166976,108401946,3.5006,1743000,241,0,0.15,459.1221556,22327435,11839541,4.312135059
Algeria,2008,1.53E+11,74.311,34730604,109031978,3.3782,1772000,249,0,0.176,459.2849033,22955887,11774717,4.292872738
Algeria,2009,1.56E+11,74.644,35333882,120184849,3.2599,1912000,204,0,0.2,458.1347136,23612220,11721662,4.279054558
Algeria,2010,1.61E+11,74.938,35977451,117813010,3.1465,2070000,109,0,0.109,453.2120268,24299170,11678281,4.273810485
Algeria,2011,1.66E+11,75.199,36661438,119807538,3.0386,2395000,25,0,0.221,450.5789163,25016299,11645139,4.276761454
Algeria,2012,1.72E+11,75.436,37383899,128110556,2.9359,2634000,30,0,0.211,444.1346623,25763114,11620785,4.285330283
Algeria,2013,1.76E+11,75.661,38140135,132435012,2.8385,2733000,101,0,0.061,458.2175888,26536380,11603755,4.297023552
Algeria,2014,1.83E+11,75.878,38923688,142528719,2.7463,2301000,37,0,0.11,431.5414004,27332603,11591085,4.308404431
Algeria,2015,1.90E+11,76.09,39728020,149682942,2.6594,1710000,21,0,0.091,421.5713209,28146508,11581512,4.311170641
Algeria,2016,1.96E+11,76.298,40551398,148928670,2.5779,2039000,9,0,0.137,408.8880352,28977623,11573775,4.305790293
Algeria,2017,1.98E+11,76.499,41389174,154935572,2.5012,2451000,12,0,0.232,397.3362541,29821728,11567446,4.300892948
Algeria,2018,2.01E+11,76.693,42228415,161486543,2.4287,2657000,0,0,0.27,391.1996927,30670076,11558339,4.32445175
Algeria,2019,2.02E+11,76.88,43053054,166641950,2.3598,2371000,12,0,0.273,382.317566,31510100,11542954,4.372917207
Argentina,1995,2.67E+11,72.651,34828168,127764859,2.5076,2289000,0,3.213,12.995,1571.692563,30705906,4122262,2.775617409
Argentina,1996,2.82E+11,72.843,35246376,134762070,2.4259,2614000,1,3.167,11.17,1656.791523,31145813,4100563,2.783062713
Argentina,1997,3.05E+11,73.029,35657438,137641464,2.3465,2764000,3,3.399,14.3,1640.695834,31579653,4077785,2.787470988
Argentina,1998,3.16E+11,73.213,36063451,139451896,2.2696,3012000,0,3.07,13.559,1565.052858,32009558,4053893,2.793013008
Argentina,1999,3.06E+11,73.396,36467218,147285131,2.1952,2898000,0,2.993,11.463,1654.108605,32438320,4028898,2.797950037
Argentina,2000,3.03E+11,73.576,36870796,142358347,2.1233,2909000,0,2.501,14.066,1909.228483,32867365,4003431,2.801612241
Argentina,2001,2.90E+11,73.755,37275644,134003944,2.0538,2620000,0,2.871,17.31,1973.2694,33297960,3977684,2.805652027
Argentina,2002,2.58E+11,73.932,37681743,124392348,1.9866,2820000,0,2.471,17.992,2044.653848,33728928,3952815,2.811030073
Argentina,2003,2.81E+11,74.107,38087866,134631008,1.9216,2995000,0,2.974,15.791,1826.367364,34159484,3928382,2.814084386
Argentina,2004,3.06E+11,74.28,38491970,157043391,1.8587,3457000,0,2.918,13.488,1540.787312,34588884,3903086,2.81792746
Argentina,2005,3.34E+11,74.451,38892924,161434200,1.7978,3823000,0,2.375,13.991,1468.063315,35015688,3877236,2.81780782
Argentina,2006,3.60E+11,74.62,39289876,174608992,1.7389,4173000,0,2.523,14.79,1638.203675,35439468,3850408,2.792062642
Argentina,2007,3.93E+11,74.787,39684303,174245760,1.6819,4562000,0,2.256,12.247,1419.647816,35861117,3823186,2.734030087
Argentina,2008,4.09E+11,74.952,40080159,188106000,1.6269,4700000,0,2.247,11.832,1726.348329,36284568,3795591,2.665144847
Argentina,2009,3.85E+11,75.116,40482786,178949200,1.5736,4308000,0,2.52,13.103,1783.041725,36714243,3768543,2.608211117
Argentina,2010,4.24E+11,75.278,40895751,186733136,1.5219,6800000,0,2.097,13.051,1793.167956,37055902,3732551,2.58547089
Argentina,2011,4.49E+11,75.439,41320497,190273774,1.4716,6703000,0,1.815,12.836,1872.623513,37543830,3717660,2.586869711
Argentina,2012,4.44E+11,75.598,41755188,191714848,1.4226,6497000,0,1.755,12.042,2026.872458,38027774,3705497,2.590933144
Argentina,2013,4.55E+11,75.756,42196034,190133373,1.3752,6510000,0,1.623,12.64,2128.836703,38509756,3693179,2.596864995
Argentina,2014,4.44E+11,75.913,42637508,188657102,1.3293,7165000,0,1.441,12.892,2211.738658,38990109,3679391,2.600800948
Argentina,2015,4.56E+11,76.068,43075416,192405960,1.2854,6816000,0,1.788,12.913,2169.74734,39467043,3664923,2.605016994
Argentina,2016,4.46E+11,76.221,43508459,190977194,1.2439,6668000,0,2.097,11.968,2147.852249,39940546,3649822,2.604248807
Argentina,2017,4.59E+11,76.372,43937143,187804729,1.2052,6711000,0,1.536,13.138,2159.833874,40410674,3634137,2.60123898
Argentina,2018,4.47E+11,76.52,44361150,181099627,1.1693,6942000,0,1.736,13.363,2163.232401,40877099,3617403,2.597627601
Argentina,2019,4.38E+11,76.667,44780675,167565587,1.1362,7399000,0,2.173,13.556,2155.40658,41339571,3599141,2.587713677
Australia,1995,6.88E+11,77.82926829,17993083,308022587,0.725,3726000,0,0,3.931,229.0375268,15342767,2729233,4.958265629
Australia,1996,7.15E+11,78.07804878,18189274,316332223,0.7024,4165000,2,0,3.942,235.0286269,15521685,2789315,4.961322216
Australia,1997,7.44E+11,78.4804878,18387205,327109554,0.6831,4318000,0,0,3.854,234.3181111,15672048,2844952,4.940920761
Australia,1998,7.78E+11,78.63170732,18587027,338697079,0.6657,4167000,0,0,3.754,239.1577657,15811356,2899644,4.916845327
Australia,1999,8.17E+11,78.93170732,18788187,346598867,0.6494,4459000,0,0,3.717,236.6928431,15967866,2958134,4.90414456
Australia,2000,8.49E+11,79.23414634,18991434,351819599,0.6338,4931000,0,0,3.709,238.3849022,16133530,3019470,4.918386675
Australia,2001,8.66E+11,79.63414634,19194676,360454654,0.6187,4856000,0,0,3.594,230.0715658,16326333,3086667,4.976261536
Australia,2002,9.00E+11,79.93658537,19401366,367112898,0.604,4841000,0,0,3.659,227.0881955,16550802,3100598,5.069064857
Australia,2003,9.27E+11,80.23902439,19624163,373233047,0.5898,4746000,0,0,3.725,208.8985343,16780377,3115023,5.167875602
Australia,2004,9.65E+11,80.4902439,19879654,386766273,0.5756,5215000,0,0,3.716,169.2254036,17000206,3127194,5.251623202
Australia,2005,9.96E+11,80.84146341,20178543,387601592,0.5611,5499000,0,0,3.971,168.8441179,17250330,3144470,5.289014029
Australia,2006,1.02E+12,81.04146341,20526300,397294711,0.5457,5532000,0,0,3.854,205.4300603,17531121,3166779,5.280962635
Australia,2007,1.06E+12,81.29268293,20916339,401925539,0.5293,5644000,0,0,3.81,200.292198,17666387,3161213,5.256212579
Australia,2008,1.10E+12,81.39512195,21332293,409653047,0.5122,5586000,0,0,3.852,215.8762723,18049708,3199492,5.219492826
Australia,2009,1.12E+12,81.54390244,21750852,401321329,0.4943,5490000,0,0,4.311,227.1543829,18451611,3240089,5.180142289
Australia,2010,1.15E+12,81.69512195,22154687,404533220,0.4761,5790000,0,0,5.037,214.910995,18767085,3264665,5.147209851
Australia,2011,1.17E+12,81.89512195,22538002,405343883,0.458,5771000,0,0,6.293,207.363236,19056040,3283984,5.112939569
Australia,2012,1.22E+12,82.04634146,22903951,402665844,0.4405,6032000,0,0,6.141,208.3737392,19414834,3318631,5.071758827
Australia,2013,1.25E+12,82.14878049,23254912,393170619,0.4242,6482000,0,0,6.86,202.8601449,19775013,3353116,5.027864218
Australia,2014,1.28E+12,82.3,23596426,399253746,0.4092,6922000,4,0,6.244,197.5854165,20095657,3380029,4.984400574
Australia,2015,1.31E+12,82.4,23932499,403279411,0.3956,7449000,2,0,6.504,204.466114,20410546,3405449,4.947174696
Australia,2016,1.35E+12,82.44878049,24262710,415945172,0.3833,8269000,0,0,7.207,188.385623,20755798,3435109,4.828984386
Australia,2017,1.38E+12,82.5,24584619,414751197,0.3721,8815000,4,0,6.885,203.2497333,21133982,3467878,4.728018231
Australia,2018,1.42E+12,82.74878049,24898153,416001157,0.3617,9246000,0,0,8.353,205.901285,21488110,3494578,4.748935071
