country_name,Year,GDP,Life_Expectancy,Population,Annual_CO2_emissions,﻿Mortality_Rate,﻿Tourism,﻿Terrorism,﻿Nuclear_percent,﻿Renewables_percent,﻿Homicide_Rate,﻿Urban_population,﻿Rural_population,﻿Depression_percent
United States,1995,0.12018391,0.717446501,0.034343216,0.147657495,0.063776153,0.034961816,0.004000899,0.19490733,0.053986841,0.054070172,0.048076327,0.017825408,0.586569972
United States,1996,0.124720543,0.730544119,0.034754364,0.15280951,0.061369199,0.036288065,4.50E-05,0.188937109,0.056872095,0.049750583,0.048878482,0.017733475,0.604757449
United States,1997,0.13027031,0.743562836,0.035192396,0.154877176,0.059271246,0.036186754,4.50E-05,0.174718872,0.058006881,0.046432692,0.049708532,0.01764972,0.619365378
United States,1998,0.136111454,0.748454718,0.035641195,0.156092014,0.057482293,0.032784296,8.99E-05,0.18601194,0.053238365,0.043519867,0.050530221,0.017557055,0.630759748
United States,1999,0.142584546,0.748533619,0.036078476,0.158097988,0.056010474,0.033235588,0.000449539,0.197568753,0.051958713,0.041148169,0.051352793,0.017460043,0.638989614
United States,2000,0.148472647,0.750269448,0.036488522,0.163706686,0.054855786,0.034352637,0,0.199990409,0.045632885,0.040578667,0.052136027,0.017393801,0.644146381
United States,2001,0.149955623,0.756739356,0.036864122,0.160828576,0.054001968,0.031121222,0.067610699,0.207519121,0.03866723,0.041732084,0.052773188,0.017418343,0.646532402
United States,2002,0.152568637,0.75997431,0.037210453,0.161969964,0.053383966,0.028252509,8.99E-05,0.206224375,0.045403513,0.042235745,0.053383401,0.017432546,0.646959064
United States,2003,0.15693599,0.763209264,0.037539273,0.163742903,0.05289607,0.027220982,0,0.199966432,0.047335064,0.04212753,0.053962804,0.017434439,0.646256772
United States,2004,0.16290053,0.777806007,0.037868461,0.166526807,0.052465095,0.029643666,0,0.201189249,0.046477938,0.04144885,0.05458428,0.017446578,0.645753028
United States,2005,0.168626082,0.777806007,0.038210582,0.167085787,0.051977199,0.031344457,0,0.198168173,0.047830024,0.043030289,0.055208484,0.017459387,0.64675681
United States,2006,0.173442348,0.784275915,0.038569119,0.164828203,0.051302276,0.080330559,2.25E-05,0.199870525,0.053214221,0.043593293,0.055863347,0.01747837,0.648612477
United States,2007,0.176697764,0.793980776,0.038938544,0.166989948,0.050399668,0.076875033,0,0.200661759,0.049834007,0.042545737,0.05651754,0.01749466,0.650280389
United States,2008,0.176456333,0.795637704,0.039311618,0.161079153,0.049277507,0.077052217,4.50E-05,0.204402139,0.057342911,0.04071099,0.057175447,0.017509652,0.651465643
