country_name,Year,GDP,Life_Expectancy,Population,Annual_CO2_emissions,﻿Mortality_Rate,﻿Tourism,﻿Terrorism,﻿Nuclear_percent,﻿Renewables_percent,﻿Homicide_Rate,﻿Urban_population,﻿Rural_population,﻿Depression_percent
Algeria,1995,-0.209484097,-1.200155916,-0.176750352,-0.193864882,1.547652692,-0.209385565,0.090873829,-0.525319523,-0.793596758,-0.199065384,-0.176823197,-0.174233481,0.756625206
Algeria,1996,-0.208989964,-1.127932638,-0.176132868,-0.193390501,1.483046853,-0.208947501,0.145350099,-0.525319523,-0.797075782,-0.199900312,-0.175580789,-0.174242197,0.749242371
Algeria,1997,-0.208851956,-1.050945293,-0.175554307,-0.19596144,1.424300843,-0.20879289,1.979384519,-0.525319523,-0.800624386,-0.193857133,-0.174369013,-0.174298123,0.744896657
Algeria,1998,-0.208205063,-0.970527818,-0.175008277,-0.190805589,1.368361641,-0.208571282,0.352948857,-0.525319523,-0.791996407,-0.195900542,-0.173178067,-0.174398279,0.738687059
Algeria,1999,-0.207778468,-0.887061339,-0.174485451,-0.194735708,1.312126986,-0.208205369,0.114921912,-0.525319523,-0.792900953,-0.198517358,-0.171970994,-0.174561021,0.736102503
Algeria,2000,-0.207255678,-0.799974168,-0.173976979,-0.197218763,1.253331733,-0.207602388,0.144859322,-0.525319523,-0.802015996,-0.19838009,-0.1707673,-0.174749104,0.731159054
Algeria,2001,-0.206827264,-0.709266306,-0.17348011,-0.196808953,1.191483461,-0.207422008,0.191973933,-0.525319523,-0.80125061,-0.19821013,-0.169567511,-0.174956492,0.724263846
Algeria,2002,-0.206003568,-0.616081128,-0.172990135,-0.195330051,1.128108679,-0.206973637,0.187556939,-0.525319523,-0.802085576,-0.198172925,-0.168363541,-0.175181863,0.714915986
Algeria,2003,-0.204885224,-0.52156201,-0.17249354,-0.194898615,1.06458617,-0.20605628,0.017748025,-0.525319523,-0.790604798,-0.198348707,-0.167140578,-0.17541301,0.70649177
Algeria,2004,-0.204169235,-0.427614581,-0.171973946,-0.195738385,1.001014418,-0.205705829,-0.032802027,-0.525319523,-0.791996407,-0.19916929,-0.165877856,-0.175637955,0.695089285
Algeria,2005,-0.203144588,-0.336525593,-0.171418449,-0.190844534,0.937590394,-0.204628708,-0.00237384,-0.525319523,-0.777106185,-0.199557497,-0.164559644,-0.175846633,0.68267117
Algeria,2006,-0.202831932,-0.250962924,-0.170822016,-0.192492504,0.874658792,-0.203623738,-0.02347726,-0.525319523,-0.794849207,-0.199843999,-0.163176419,-0.176038508,0.669289817
Algeria,2007,-0.202195989,-0.171879388,-0.170183478,-0.190337497,0.812761277,-0.2030826,0.004006263,-0.525319523,-0.795057948,-0.200290762,-0.161726664,-0.176212763,0.64727673
Algeria,2008,-0.201731826,-0.100418362,-0.169499221,-0.190171902,0.752488757,-0.202933143,0.007932481,-0.525319523,-0.793248856,-0.20028663,-0.160202316,-0.176370241,0.622837021
Algeria,2009,-0.201414957,-0.036960971,-0.168766828,-0.187240537,0.694235169,-0.202211627,-0.014152493,-0.525319523,-0.791578924,-0.20031583,-0.158610341,-0.176499129,0.605304744
Algeria,2010,-0.200690595,0.019064474,-0.167985521,-0.18786394,0.638394452,-0.201397343,-0.060776328,-0.525319523,-0.797910748,-0.200440801,-0.156944102,-0.176604515,0.598651153
Algeria,2011,-0.200086075,0.068801348,-0.167155146,-0.187339708,0.585262059,-0.199722394,-0.102001613,-0.525319523,-0.790117734,-0.200507646,-0.155204662,-0.176685028,0.602395293
Algeria,2012,-0.199356773,0.113964717,-0.166278062,-0.185157384,0.534690263,-0.198490662,-0.099547727,-0.525319523,-0.790813539,-0.200671245,-0.153393217,-0.176744191,0.61326728
Algeria,2013,-0.198735751,0.156841333,-0.165359975,-0.184020766,0.486728306,-0.197980446,-0.064702545,-0.525319523,-0.80125061,-0.200313726,-0.151517614,-0.176785562,0.628103503
Algeria,2014,-0.197869337,0.198193446,-0.164408724,-0.181367786,0.441326947,-0.200206841,-0.096112287,-0.525319523,-0.797841167,-0.200990946,-0.149586327,-0.176816342,0.642543371
Algeria,2015,-0.196993666,0.238592747,-0.163432247,-0.179487406,0.398535427,-0.203252672,-0.103964722,-0.525319523,-0.799163196,-0.201244053,-0.147612151,-0.176839598,0.646053092
Algeria,2016,-0.196208307,0.278229796,-0.162432648,-0.179685655,0.35840299,-0.201557108,-0.109854048,-0.525319523,-0.795962494,-0.201566039,-0.145596232,-0.176858393,0.639226598
Algeria,2017,-0.195879045,0.316532906,-0.161415569,-0.178106831,0.32063418,-0.199433787,-0.108381717,-0.525319523,-0.789352349,-0.2018593,-0.143548804,-0.176873769,0.633012928
Algeria,2018,-0.195571161,0.353502077,-0.160396712,-0.176385006,0.284933545,-0.198372127,-0.114271043,-0.525319523,-0.786708291,-0.202015087,-0.141491085,-0.176895892,0.662903941
Algeria,2019,-0.195363441,0.389137309,-0.159395582,-0.175029985,0.251005631,-0.199846082,-0.114271043,-0.525319523,-0.78649955,-0.202240575,-0.139453556,-0.176933267,0.724396101
Argentina,1995,-0.187009215,-0.416752505,-0.169380776,-0.185248245,0.323785684,-0.200268685,-0.114271043,-0.110798868,0.098703265,-0.172046301,-0.141404177,-0.19496049,-1.302231111
Argentina,1996,-0.18510102,-0.38016446,-0.168873062,-0.183409133,0.283554762,-0.198593735,-0.113780266,-0.116733493,-0.028281103,-0.169885921,-0.140337156,-0.195013203,-1.292784634
Argentina,1997,-0.182145752,-0.34471979,-0.168374024,-0.182652328,0.244456411,-0.197820682,-0.112798712,-0.086802341,0.189505787,-0.170294537,-0.139284851,-0.195068538,-1.287191489
Argentina,1998,-0.180629152,-0.309656247,-0.167881115,-0.182176483,0.206589117,-0.196542566,-0.114271043,-0.129247811,0.137946654,-0.172214861,-0.13824209,-0.19512658,-1.280159866
Argentina,1999,-0.18201404,-0.274783266,-0.167390933,-0.180117635,0.169952879,-0.197130087,-0.114271043,-0.139181857,-0.007894024,-0.169954032,-0.137202102,-0.195187301,-1.273895847
Argentina,2000,-0.182325869,-0.240481974,-0.16690098,-0.181412566,0.134547698,-0.197073396,-0.114271043,-0.202656542,0.173223955,-0.163477387,-0.136161428,-0.195249168,-1.269249303
Argentina,2001,-0.184054586,-0.206371244,-0.166409486,-0.183608395,0.100324331,-0.198562813,-0.114271043,-0.154921515,0.398943019,-0.161851601,-0.135116993,-0.195311716,-1.26412369
Argentina,2002,-0.188138007,-0.172641639,-0.165916473,-0.186134659,0.067233535,-0.197532075,-0.114271043,-0.20652695,0.446396904,-0.160039387,-0.134071655,-0.19537213,-1.257300116
Argentina,2003,-0.185186601,-0.13929316,-0.16542343,-0.183443581,0.035226069,-0.196630179,-0.114271043,-0.141633115,0.293250276,-0.165580955,-0.133027315,-0.195431486,-1.253424855
Argentina,2004,-0.181904394,-0.106325807,-0.164932839,-0.177552822,0.004252691,-0.194249174,-0.114271043,-0.148857876,0.13300644,-0.172830882,-0.131985779,-0.195492938,-1.248548828
Argentina,2005,-0.178396328,-0.073739579,-0.164446072,-0.176398764,-0.025735842,-0.192362923,-0.114271043,-0.218912254,0.168005419,-0.174677103,-0.13095054,-0.195555736,-1.248700625
Argentina,2006,-0.174924803,-0.041534476,-0.163964164,-0.172935967,-0.054739531,-0.190559131,-0.114271043,-0.199818243,0.22360022,-0.170357805,-0.129922636,-0.19562091,-1.281365675
Argentina,2007,-0.170726218,-0.009710499,-0.16348532,-0.173031438,-0.082807616,-0.188554345,-0.114271043,-0.234264871,0.046657069,-0.175906211,-0.128899901,-0.19568704,-1.354996408
Argentina,2008,-0.168664742,0.021732352,-0.163004742,-0.169388481,-0.109890856,-0.187843136,-0.114271043,-0.235425993,0.017781172,-0.168120106,-0.127872795,-0.195754078,-1.442396846
Argentina,2009,-0.171793948,0.052984641,-0.162515944,-0.171795209,-0.136136978,-0.189863382,-0.114271043,-0.200205284,0.106217957,-0.166680849,-0.126830593,-0.195819786,-1.514633409
Argentina,2010,-0.166757354,0.083855804,-0.162014596,-0.169749318,-0.161595224,-0.177020384,-0.114271043,-0.254778031,0.102599772,-0.166423778,-0.126001878,-0.195907222,-1.543485827
Argentina,2011,-0.163468463,0.114536405,-0.161498945,-0.168818714,-0.186364078,-0.177520292,-0.114271043,-0.291159863,0.08763997,-0.164406665,-0.124818379,-0.195943397,-1.541711027
Argentina,2012,-0.164064482,0.14483588,-0.16097122,-0.16843995,-0.210492783,-0.178581952,-0.114271043,-0.298900678,0.032393072,-0.160490798,-0.123644544,-0.195972945,-1.536555411
Argentina,2013,-0.162682103,0.174944793,-0.160436023,-0.168855617,-0.233833612,-0.178514954,-0.114271043,-0.315930471,0.074002196,-0.157902265,-0.122475468,-0.196002869,-1.529029177
Argentina,2014,-0.164160878,0.204863142,-0.159900064,-0.169243632,-0.256435807,-0.175139287,-0.114271043,-0.339410944,0.091536476,-0.15579766,-0.121310342,-0.196036364,-1.524035306
Argentina,2015,-0.162593868,0.234400366,-0.159368434,-0.168258301,-0.278053157,-0.176937925,-0.114271043,-0.29464323,0.092997666,-0.15686368,-0.12015351,-0.196071512,-1.518686057
Argentina,2016,-0.16382006,0.263556465,-0.15884271,-0.168633831,-0.298488693,-0.177700671,-0.114271043,-0.254778031,0.027244117,-0.157419523,-0.119005,-0.196108197,-1.51966072
Argentina,2017,-0.162193331,0.292331438,-0.158322278,-0.169467666,-0.317545446,-0.177479063,-0.114271043,-0.327154654,0.108653274,-0.15711535,-0.117864676,-0.196146301,-1.523479539
Argentina,2018,-0.163715683,0.320534723,-0.157807524,-0.171230001,-0.335223415,-0.17628856,-0.114271043,-0.301351936,0.124308881,-0.157029072,-0.116733334,-0.196186953,-1.528061596
Argentina,2019,-0.164922982,0.348547446,-0.157298212,-0.174787221,-0.351522602,-0.173933323,-0.114271043,-0.244972999,0.137737912,-0.157227744,-0.11561158,-0.196231317,-1.540640217
Australia,1995,-0.132512785,0.570032472,-0.189818943,-0.137870204,-0.554006755,-0.192862831,-0.114271043,-0.525319523,-0.531974169,-0.206131845,-0.178668398,-0.1983446,1.467076368
Australia,1996,-0.129059938,0.617440763,-0.189580763,-0.135686141,-0.565135504,-0.19060036,-0.113289489,-0.525319523,-0.531208783,-0.205979751,-0.178234422,-0.198198642,1.470954513
Australia,1997,-0.125391836,0.694130645,-0.189340471,-0.132853481,-0.57463926,-0.189811846,-0.114271043,-0.525319523,-0.537331865,-0.205997789,-0.177869707,-0.198063482,1.445069489
Australia,1998,-0.120991611,0.722947449,-0.189097882,-0.129807874,-0.583207412,-0.190590053,-0.114271043,-0.525319523,-0.544289913,-0.205874926,-0.177531807,-0.197930618,1.414522982
